ID;Storey;From;From description;To;To Description;Class;Item code;Type;Cable type 2;Length/qty;Calculated length;Plan unit;Diameter;Weight;To parts list;To cable list;Electrotechnical calculations;System;Neutral wire;Protective wire;PEN wire;Space name;Storey description;Occurrences;Occurrence documents;Occurrence count;Dynamic customer ID;From location;From customer ID;To Customer ID;Replacing product;GUID
#_W1686;1korrus;-KK.B106;Ühenduskarp;-KK.B103;Ühenduskarp;Installatsioonikaabel;20235967;XPJ-HF C-Pro 3G2,5;3G2,5;0;3687,764031;m;8,8;141;FALSE;TRUE;TRUE;T810_C;TRUE;TRUE;FALSE;B106;1. korrus;TRUE;VMHT_TP_EAH-5-011_1k-aut.drw;1;#_W1686;;KK.B106;KK.B103;;c7005d37-d8ca-448e-9ed4-31e923926f38
#_W700;1korrus;-KK.B106;Ühenduskarp;-KK.B107;Ühenduskarp;Installatsioonikaabel;20235967;XPJ-HF C-Pro 3G2,5;3G2,5;0;4391,361967;m;8,8;141;FALSE;TRUE;TRUE;T810_C;TRUE;TRUE;FALSE;B106;1. korrus;TRUE;VMHT_TP_EAH-5-011_1k-aut.drw;1;#_W700;;KK.B106;KK.B107;;da085efa-e8d6-40fe-95f5-e970de4ce972
#_W860;1korrus;-KK.B107;Ühenduskarp;-KK.B113;Ühenduskarp;Installatsioonikaabel;20235967;XPJ-HF C-Pro 3G2,5;3G2,5;0;8148,162001;m;8,8;141;FALSE;TRUE;TRUE;T810_C;TRUE;TRUE;FALSE;B107;1. korrus;TRUE;VMHT_TP_EAH-5-011_1k-aut.drw;1;#_W860;;KK.B107;KK.B113;;ab634577-6da5-4439-9351-c110cf827c90
#2_W651;1korrus;-KK.B112;Ühenduskarp;-KK.B113;Ühenduskarp;Installatsioonikaabel;20235967;XPJ-HF C-Pro 3G2,5;3G2,5;0;6168,362215;m;8,8;141;FALSE;TRUE;TRUE;T810_C;TRUE;TRUE;FALSE;B112;1. korrus;TRUE;VMHT_TP_EAH-5-011_1k-aut.drw;1;#2_W651;;KK.B112;KK.B113;;3bccad11-bf15-4044-a690-26d5042a1b64
#2_W631;1korrus;-KK.B114;Ühenduskarp;-KK.B169;Ühenduskarp;Installatsioonikaabel;20235967;XPJ-HF C-Pro 3G2,5;3G2,5;0;4823,91758;m;8,8;141;FALSE;TRUE;TRUE;T810_C;TRUE;TRUE;FALSE;B114;1. korrus;TRUE;VMHT_TP_EAH-5-011_1k-aut.drw;1;#2_W631;;KK.B114;KK.B169;;3484aa7e-9f88-4256-b30e-3d21b2c142ed
#2_W658;1korrus;-KK.B115;Ühenduskarp;-KK.B114;Ühenduskarp;Installatsioonikaabel;20235967;XPJ-HF C-Pro 3G2,5;3G2,5;0;2017,784553;m;8,8;141;FALSE;TRUE;TRUE;T810_C;TRUE;TRUE;FALSE;B115;1. korrus;TRUE;VMHT_TP_EAH-5-011_1k-aut.drw;1;#2_W658;;KK.B115;KK.B114;;642294ea-e841-411f-948c-6fab5e07456d
#_W1863;1korrus;-KK.B117;Ühenduskarp;-KK.B109;Ühenduskarp;Installatsioonikaabel;20235967;XPJ-HF C-Pro 3G2,5;3G2,5;0;4936,950499;m;8,8;141;FALSE;TRUE;TRUE;T810_C;TRUE;TRUE;FALSE;B117;1. korrus;TRUE;VMHT_TP_EAH-5-011_1k-aut.drw;1;#_W1863;;KK.B117;KK.B109;;3d33a8a0-4f4a-464e-82ec-a94add9ae6f5
#_W1689;1korrus;-KK.B118;Ühenduskarp;-KK.B121;Ühenduskarp;Installatsioonikaabel;20235967;XPJ-HF C-Pro 3G2,5;3G2,5;0;9784,128967;m;8,8;141;FALSE;TRUE;TRUE;T810_C;TRUE;TRUE;FALSE;B118;1. korrus;TRUE;VMHT_TP_EAH-5-011_1k-aut.drw;1;#_W1689;;KK.B118;KK.B121;;e39865f8-622b-4cd0-935e-08aef65be6d1
#_W1690;1korrus;-KK.B121;Ühenduskarp;-KK.B123;Ühenduskarp;Installatsioonikaabel;20235967;XPJ-HF C-Pro 3G2,5;3G2,5;0;12144,55065;m;8,8;141;FALSE;TRUE;TRUE;T810_C;TRUE;TRUE;FALSE;B121;1. korrus;TRUE;VMHT_TP_EAH-5-011_1k-aut.drw;1;#_W1690;;KK.B121;KK.B123;;902d7c53-11ff-4d7b-a14b-f483141751cb
#_W1691;1korrus;-KK.B123;Ühenduskarp;-KK.B128;Ühenduskarp;Installatsioonikaabel;20235967;XPJ-HF C-Pro 3G2,5;3G2,5;0;10323,53107;m;8,8;141;FALSE;TRUE;TRUE;T810_C;TRUE;TRUE;FALSE;B123;1. korrus;TRUE;VMHT_TP_EAH-5-011_1k-aut.drw;1;#_W1691;;KK.B123;KK.B128;;99e467fc-a82e-4353-baf9-fdf8c8e3a103
#_W1692;1korrus;-KK.B128;Ühenduskarp;-KK.B129;Ühenduskarp;Installatsioonikaabel;20235967;XPJ-HF C-Pro 3G2,5;3G2,5;0;1598,434833;m;8,8;141;FALSE;TRUE;TRUE;T810_C;TRUE;TRUE;FALSE;B128;1. korrus;TRUE;VMHT_TP_EAH-5-011_1k-aut.drw;1;#_W1692;;KK.B128;KK.B129;;0384f4f5-03a7-4563-8546-5e8d26078b1a
#_W1693;1korrus;-KK.B129;Ühenduskarp;-KK.B130;Ühenduskarp;Installatsioonikaabel;20235967;XPJ-HF C-Pro 3G2,5;3G2,5;0;2926,799149;m;8,8;141;FALSE;TRUE;TRUE;T810_C;TRUE;TRUE;FALSE;B129;1. korrus;TRUE;VMHT_TP_EAH-5-011_1k-aut.drw;1;#_W1693;;KK.B129;KK.B130;;e2a7fc25-1666-4982-a5c4-c6b2bff5e6cd
#_W2006;1korrus;-KK.B134;Ühenduskarp;-KK.B135;Ühenduskarp;Installatsioonikaabel;20235967;XPJ-HF C-Pro 3G2,5;3G2,5;0;8976,633955;m;8,8;141;FALSE;TRUE;TRUE;T810_C;TRUE;TRUE;FALSE;B134;1. korrus;TRUE;VMHT_TP_EAH-5-011_1k-aut.drw;1;#_W2006;;KK.B134;KK.B135;;43efbd40-9139-428f-8026-18a0be7e6a47
#_W1716;1korrus;-KK.B139;Ühenduskarp;-KK.B161;Ühenduskarp;Installatsioonikaabel;20235967;XPJ-HF C-Pro 3G2,5;3G2,5;0;11665,30686;m;8,8;141;FALSE;TRUE;TRUE;T810_C;TRUE;TRUE;FALSE;;1. korrus;TRUE;VMHT_TP_EAH-5-011_1k-aut.drw;1;#_W1716;;KK.B139;KK.B161;;d9386730-47da-4011-a2e7-d066ef8dffb3
#_W1715;1korrus;-KK.B142;Ühenduskarp;-KK.B139;Ühenduskarp;Installatsioonikaabel;20235967;XPJ-HF C-Pro 3G2,5;3G2,5;0;5016,301655;m;8,8;141;FALSE;TRUE;TRUE;T810_C;TRUE;TRUE;FALSE;;1. korrus;TRUE;VMHT_TP_EAH-5-011_1k-aut.drw;1;#_W1715;;KK.B142;KK.B139;;57e25604-b09c-401b-a9c4-cc5121ed1379
#_W1709;1korrus;-KK.B143;Ühenduskarp;-KK.B145;Ühenduskarp;Installatsioonikaabel;20235967;XPJ-HF C-Pro 3G2,5;3G2,5;0;5386,414963;m;8,8;141;FALSE;TRUE;TRUE;T810_C;TRUE;TRUE;FALSE;B143;1. korrus;TRUE;VMHT_TP_EAH-5-011_1k-aut.drw;1;#_W1709;;KK.B143;KK.B145;;9e47e0ce-d262-49d7-bb1b-205489e05d19
#_W1699;1korrus;-KK.B144;Ühenduskarp;-KK.B147;Ühenduskarp;Installatsioonikaabel;20235967;XPJ-HF C-Pro 3G2,5;3G2,5;0;2116,496918;m;8,8;141;FALSE;TRUE;TRUE;T810_C;TRUE;TRUE;FALSE;B144;1. korrus;TRUE;VMHT_TP_EAH-5-011_1k-aut.drw;1;#_W1699;;KK.B144;KK.B147;;53fbed67-6834-4165-9134-e8050688ae8a
#_W1710;1korrus;-KK.B145;Ühenduskarp;-KK.B144;Ühenduskarp;Installatsioonikaabel;20235967;XPJ-HF C-Pro 3G2,5;3G2,5;0;5345,525145;m;8,8;141;FALSE;TRUE;TRUE;T810_C;TRUE;TRUE;FALSE;B145;1. korrus;TRUE;VMHT_TP_EAH-5-011_1k-aut.drw;1;#_W1710;;KK.B145;KK.B144;;6770dce6-756d-495b-9c4c-574ad576a922
#_W1717;1korrus;-KK.B147;Ühenduskarp;-KK.B148;Ühenduskarp;Installatsioonikaabel;20235967;XPJ-HF C-Pro 3G2,5;3G2,5;0;4886,678338;m;8,8;141;FALSE;TRUE;TRUE;T810_C;TRUE;TRUE;FALSE;B147;1. korrus;TRUE;VMHT_TP_EAH-5-011_1k-aut.drw;1;#_W1717;;KK.B147;KK.B148;;9f37909b-e2ae-41ec-b99b-646e2e8b21fc
#_W1696;1korrus;-KK.B150;Ühenduskarp;-KK.B152;Ühenduskarp;Installatsioonikaabel;20235967;XPJ-HF C-Pro 3G2,5;3G2,5;0;4133,667157;m;8,8;141;FALSE;TRUE;TRUE;T810_C;TRUE;TRUE;FALSE;B150;1. korrus;TRUE;VMHT_TP_EAH-5-011_1k-aut.drw;1;#_W1696;;KK.B150;KK.B152;;a6935fcc-ffb6-4f8c-ac18-6ac64ece2e61
